Mittari;Aika;val
Tapausten lukumäärä;2020-09-04;42
Testausmäärä;2020-09-04;16079
Kuolemantapausten lukumäärä;2020-09-04;1
Tapausten lukumäärä;2020-09-05;22
Testausmäärä;2020-09-05;14169
Kuolemantapausten lukumäärä;2020-09-05;0
Tapausten lukumäärä;2020-09-06;33
Testausmäärä;2020-09-06;9530
Kuolemantapausten lukumäärä;2020-09-06;1
Tapausten lukumäärä;2020-09-07;45
Testausmäärä;2020-09-07;7288
Kuolemantapausten lukumäärä;2020-09-07;0
Tapausten lukumäärä;2020-09-08;57
Testausmäärä;2020-09-08;12053
Kuolemantapausten lukumäärä;2020-09-08;0
Tapausten lukumäärä;2020-09-09;55
Testausmäärä;2020-09-09;14213
Kuolemantapausten lukumäärä;2020-09-09;3
Tapausten lukumäärä;2020-09-10;54
Testausmäärä;2020-09-10;13000
Kuolemantapausten lukumäärä;2020-09-10;0
Tapausten lukumäärä;2020-09-11;58
Testausmäärä;2020-09-11;14441
Kuolemantapausten lukumäärä;2020-09-11;2
Tapausten lukumäärä;2020-09-12;40
Testausmäärä;2020-09-12;10330
Kuolemantapausten lukumäärä;2020-09-12;0
Tapausten lukumäärä;2020-09-13;45
Testausmäärä;2020-09-13;8400
Kuolemantapausten lukumäärä;2020-09-13;0
Tapausten lukumäärä;2020-09-14;59
Testausmäärä;2020-09-14;9184
Kuolemantapausten lukumäärä;2020-09-14;1
Tapausten lukumäärä;2020-09-15;53
Testausmäärä;2020-09-15;13585
Kuolemantapausten lukumäärä;2020-09-15;0
Tapausten lukumäärä;2020-09-16;58
Testausmäärä;2020-09-16;17146
Kuolemantapausten lukumäärä;2020-09-16;1
Tapausten lukumäärä;2020-09-17;85
Testausmäärä;2020-09-17;18415
Kuolemantapausten lukumäärä;2020-09-17;0
Tapausten lukumäärä;2020-09-18;77
Testausmäärä;2020-09-18;16891
Kuolemantapausten lukumäärä;2020-09-18;0
Tapausten lukumäärä;2020-09-19;64
Testausmäärä;2020-09-19;12256
Kuolemantapausten lukumäärä;2020-09-19;0
Tapausten lukumäärä;2020-09-20;74
Testausmäärä;2020-09-20;10322
Kuolemantapausten lukumäärä;2020-09-20;0
Tapausten lukumäärä;2020-09-21;120
Testausmäärä;2020-09-21;8746
Kuolemantapausten lukumäärä;2020-09-21;0
Tapausten lukumäärä;2020-09-22;110
Testausmäärä;2020-09-22;14194
Kuolemantapausten lukumäärä;2020-09-22;1
Tapausten lukumäärä;2020-09-23;118
Testausmäärä;2020-09-23;13652
Kuolemantapausten lukumäärä;2020-09-23;2
Tapausten lukumäärä;2020-09-24;98
Testausmäärä;2020-09-24;16563
Kuolemantapausten lukumäärä;2020-09-24;0
Tapausten lukumäärä;2020-09-25;128
Testausmäärä;2020-09-25;14512
Kuolemantapausten lukumäärä;2020-09-25;1
Tapausten lukumäärä;2020-09-26;74
Testausmäärä;2020-09-26;14760
Kuolemantapausten lukumäärä;2020-09-26;0
Tapausten lukumäärä;2020-09-27;71
Testausmäärä;2020-09-27;8978
Kuolemantapausten lukumäärä;2020-09-27;0
Tapausten lukumäärä;2020-09-28;124
Testausmäärä;2020-09-28;11263
Kuolemantapausten lukumäärä;2020-09-28;0
Tapausten lukumäärä;2020-09-29;134
Testausmäärä;2020-09-29;11771
Kuolemantapausten lukumäärä;2020-09-29;0
Tapausten lukumäärä;2020-09-30;168
Testausmäärä;2020-09-30;15401
Kuolemantapausten lukumäärä;2020-09-30;0
Tapausten lukumäärä;2020-10-01;191
Testausmäärä;2020-10-01;12134
Kuolemantapausten lukumäärä;2020-10-01;2
Tapausten lukumäärä;2020-10-02;187
Testausmäärä;2020-10-02;12512
Kuolemantapausten lukumäärä;2020-10-02;0
Tapausten lukumäärä;2020-10-03;178
Testausmäärä;2020-10-03;12108
Kuolemantapausten lukumäärä;2020-10-03;0
Tapausten lukumäärä;2020-10-04;148
Testausmäärä;2020-10-04;9854
Kuolemantapausten lukumäärä;2020-10-04;0
Tapausten lukumäärä;2020-10-05;291
Testausmäärä;2020-10-05;11413
Kuolemantapausten lukumäärä;2020-10-05;2
Tapausten lukumäärä;2020-10-06;301
Testausmäärä;2020-10-06;15492
Kuolemantapausten lukumäärä;2020-10-06;1
Tapausten lukumäärä;2020-10-07;306
Testausmäärä;2020-10-07;17602
Kuolemantapausten lukumäärä;2020-10-07;2
Tapausten lukumäärä;2020-10-08;259
Testausmäärä;2020-10-08;17228
Kuolemantapausten lukumäärä;2020-10-08;0
Tapausten lukumäärä;2020-10-09;226
Testausmäärä;2020-10-09;17262
Kuolemantapausten lukumäärä;2020-10-09;0
Tapausten lukumäärä;2020-10-10;111
Testausmäärä;2020-10-10;14774
Kuolemantapausten lukumäärä;2020-10-10;1
Tapausten lukumäärä;2020-10-11;132
Testausmäärä;2020-10-11;9812
Kuolemantapausten lukumäärä;2020-10-11;2
Tapausten lukumäärä;2020-10-12;256
Testausmäärä;2020-10-12;13285
Kuolemantapausten lukumäärä;2020-10-12;0
Tapausten lukumäärä;2020-10-13;199
Testausmäärä;2020-10-13;17349
Kuolemantapausten lukumäärä;2020-10-13;0
Tapausten lukumäärä;2020-10-14;202
Testausmäärä;2020-10-14;17602
Kuolemantapausten lukumäärä;2020-10-14;2
Tapausten lukumäärä;2020-10-15;191
Testausmäärä;2020-10-15;17031
Kuolemantapausten lukumäärä;2020-10-15;0
Tapausten lukumäärä;2020-10-16;195
Testausmäärä;2020-10-16;14710
Kuolemantapausten lukumäärä;2020-10-16;1
Tapausten lukumäärä;2020-10-17;104
Testausmäärä;2020-10-17;11610
Kuolemantapausten lukumäärä;2020-10-17;0
Tapausten lukumäärä;2020-10-18;129
Testausmäärä;2020-10-18;8424
Kuolemantapausten lukumäärä;2020-10-18;0
Tapausten lukumäärä;2020-10-19;243
Testausmäärä;2020-10-19;11089
Kuolemantapausten lukumäärä;2020-10-19;3
Tapausten lukumäärä;2020-10-20;167
Testausmäärä;2020-10-20;16364
Kuolemantapausten lukumäärä;2020-10-20;0
Tapausten lukumäärä;2020-10-21;188
Testausmäärä;2020-10-21;17648
Kuolemantapausten lukumäärä;2020-10-21;0
Tapausten lukumäärä;2020-10-22;223
Testausmäärä;2020-10-22;17457
Kuolemantapausten lukumäärä;2020-10-22;1
Tapausten lukumäärä;2020-10-23;194
Testausmäärä;2020-10-23;16372
Kuolemantapausten lukumäärä;2020-10-23;1
Tapausten lukumäärä;2020-10-24;107
Testausmäärä;2020-10-24;11629
Kuolemantapausten lukumäärä;2020-10-24;0
Tapausten lukumäärä;2020-10-25;124
Testausmäärä;2020-10-25;7203
Kuolemantapausten lukumäärä;2020-10-25;1
Tapausten lukumäärä;2020-10-26;255
Testausmäärä;2020-10-26;11894
Kuolemantapausten lukumäärä;2020-10-26;0
Tapausten lukumäärä;2020-10-27;234
Testausmäärä;2020-10-27;18584
Kuolemantapausten lukumäärä;2020-10-27;1
Tapausten lukumäärä;2020-10-28;240
Testausmäärä;2020-10-28;16275
Kuolemantapausten lukumäärä;2020-10-28;0
Tapausten lukumäärä;2020-10-29;236
Testausmäärä;2020-10-29;15077
Kuolemantapausten lukumäärä;2020-10-29;0
Tapausten lukumäärä;2020-10-30;220
Testausmäärä;2020-10-30;12349
Kuolemantapausten lukumäärä;2020-10-30;1
Tapausten lukumäärä;2020-10-31;121
Testausmäärä;2020-10-31;8858
Kuolemantapausten lukumäärä;2020-10-31;0
Tapausten lukumäärä;2020-11-01;151
Testausmäärä;2020-11-01;5984
Kuolemantapausten lukumäärä;2020-11-01;0
Tapausten lukumäärä;2020-11-02;287
Testausmäärä;2020-11-02;9755
Kuolemantapausten lukumäärä;2020-11-02;0
Tapausten lukumäärä;2020-11-03;241
Testausmäärä;2020-11-03;16077
Kuolemantapausten lukumäärä;2020-11-03;0
Tapausten lukumäärä;2020-11-04;214
Testausmäärä;2020-11-04;17293
Kuolemantapausten lukumäärä;2020-11-04;0
Tapausten lukumäärä;2020-11-05;218
Testausmäärä;2020-11-05;15315
Kuolemantapausten lukumäärä;2020-11-05;0
Tapausten lukumäärä;2020-11-06;196
Testausmäärä;2020-11-06;15128
Kuolemantapausten lukumäärä;2020-11-06;2
Tapausten lukumäärä;2020-11-07;128
Testausmäärä;2020-11-07;9833
Kuolemantapausten lukumäärä;2020-11-07;2
Tapausten lukumäärä;2020-11-08;132
Testausmäärä;2020-11-08;5786
Kuolemantapausten lukumäärä;2020-11-08;7
Tapausten lukumäärä;2020-11-09;273
Testausmäärä;2020-11-09;11753
Kuolemantapausten lukumäärä;2020-11-09;3
Tapausten lukumäärä;2020-11-10;206
Testausmäärä;2020-11-10;16694
Kuolemantapausten lukumäärä;2020-11-10;0
Tapausten lukumäärä;2020-11-11;295
Testausmäärä;2020-11-11;16387
Kuolemantapausten lukumäärä;2020-11-11;1
Tapausten lukumäärä;2020-11-12;284
Testausmäärä;2020-11-12;15852
Kuolemantapausten lukumäärä;2020-11-12;4
Tapausten lukumäärä;2020-11-13;268
Testausmäärä;2020-11-13;13392
Kuolemantapausten lukumäärä;2020-11-13;7
Tapausten lukumäärä;2020-11-14;145
Testausmäärä;2020-11-14;10836
Kuolemantapausten lukumäärä;2020-11-14;2
Tapausten lukumäärä;2020-11-15;180
Testausmäärä;2020-11-15;6648
Kuolemantapausten lukumäärä;2020-11-15;2
Tapausten lukumäärä;2020-11-16;393
Testausmäärä;2020-11-16;12667
Kuolemantapausten lukumäärä;2020-11-16;1
Tapausten lukumäärä;2020-11-17;388
Testausmäärä;2020-11-17;18246
Kuolemantapausten lukumäärä;2020-11-17;1
Tapausten lukumäärä;2020-11-18;377
Testausmäärä;2020-11-18;17093
Kuolemantapausten lukumäärä;2020-11-18;3
Tapausten lukumäärä;2020-11-19;478
Testausmäärä;2020-11-19;16789
Kuolemantapausten lukumäärä;2020-11-19;3
Tapausten lukumäärä;2020-11-20;428
Testausmäärä;2020-11-20;17748
Kuolemantapausten lukumäärä;2020-11-20;6
Tapausten lukumäärä;2020-11-21;270
Testausmäärä;2020-11-21;13047
Kuolemantapausten lukumäärä;2020-11-21;10
Tapausten lukumäärä;2020-11-22;267
Testausmäärä;2020-11-22;8718
Kuolemantapausten lukumäärä;2020-11-22;4
Tapausten lukumäärä;2020-11-23;504
Testausmäärä;2020-11-23;14688
Kuolemantapausten lukumäärä;2020-11-23;5
Tapausten lukumäärä;2020-11-24;471
Testausmäärä;2020-11-24;20984
Kuolemantapausten lukumäärä;2020-11-24;6
Tapausten lukumäärä;2020-11-25;619
Testausmäärä;2020-11-25;23296
Kuolemantapausten lukumäärä;2020-11-25;8
Tapausten lukumäärä;2020-11-26;510
Testausmäärä;2020-11-26;21928
Kuolemantapausten lukumäärä;2020-11-26;2
Tapausten lukumäärä;2020-11-27;456
Testausmäärä;2020-11-27;21658
Kuolemantapausten lukumäärä;2020-11-27;6
Tapausten lukumäärä;2020-11-28;284
Testausmäärä;2020-11-28;16298
Kuolemantapausten lukumäärä;2020-11-28;2
Tapausten lukumäärä;2020-11-29;293
Testausmäärä;2020-11-29;13935
Kuolemantapausten lukumäärä;2020-11-29;5
Tapausten lukumäärä;2020-11-30;596
Testausmäärä;2020-11-30;14556
Kuolemantapausten lukumäärä;2020-11-30;10
Tapausten lukumäärä;2020-12-01;440
Testausmäärä;2020-12-01;20889
Kuolemantapausten lukumäärä;2020-12-01;2
Tapausten lukumäärä;2020-12-02;495
Testausmäärä;2020-12-02;23756
Kuolemantapausten lukumäärä;2020-12-02;7
Tapausten lukumäärä;2020-12-03;478
Testausmäärä;2020-12-03;21894
Kuolemantapausten lukumäärä;2020-12-03;7
Tapausten lukumäärä;2020-12-04;473
Testausmäärä;2020-12-04;21704
Kuolemantapausten lukumäärä;2020-12-04;3
Tapausten lukumäärä;2020-12-05;250
Testausmäärä;2020-12-05;17866
Kuolemantapausten lukumäärä;2020-12-05;6
Tapausten lukumäärä;2020-12-06;283
Testausmäärä;2020-12-06;11462
Kuolemantapausten lukumäärä;2020-12-06;10
Tapausten lukumäärä;2020-12-07;587
Testausmäärä;2020-12-07;15644
Kuolemantapausten lukumäärä;2020-12-07;10
Tapausten lukumäärä;2020-12-08;478
Testausmäärä;2020-12-08;21326
Kuolemantapausten lukumäärä;2020-12-08;3
Tapausten lukumäärä;2020-12-09;462
Testausmäärä;2020-12-09;21645
Kuolemantapausten lukumäärä;2020-12-09;5
Tapausten lukumäärä;2020-12-10;407
Testausmäärä;2020-12-10;18679
Kuolemantapausten lukumäärä;2020-12-10;4
Tapausten lukumäärä;2020-12-11;447
Testausmäärä;2020-12-11;19191
Kuolemantapausten lukumäärä;2020-12-11;8
Tapausten lukumäärä;2020-12-12;249
Testausmäärä;2020-12-12;13877
Kuolemantapausten lukumäärä;2020-12-12;3
Tapausten lukumäärä;2020-12-13;276
Testausmäärä;2020-12-13;10414
Kuolemantapausten lukumäärä;2020-12-13;5
Tapausten lukumäärä;2020-12-14;463
Testausmäärä;2020-12-14;15189
Kuolemantapausten lukumäärä;2020-12-14;11
Tapausten lukumäärä;2020-12-15;360
Testausmäärä;2020-12-15;22630
Kuolemantapausten lukumäärä;2020-12-15;7
Tapausten lukumäärä;2020-12-16;352
Testausmäärä;2020-12-16;18732
Kuolemantapausten lukumäärä;2020-12-16;4
Tapausten lukumäärä;2020-12-17;325
Testausmäärä;2020-12-17;20440
Kuolemantapausten lukumäärä;2020-12-17;1
Tapausten lukumäärä;2020-12-18;394
Testausmäärä;2020-12-18;19754
Kuolemantapausten lukumäärä;2020-12-18;5
Tapausten lukumäärä;2020-12-19;191
Testausmäärä;2020-12-19;15100
Kuolemantapausten lukumäärä;2020-12-19;3
Tapausten lukumäärä;2020-12-20;244
Testausmäärä;2020-12-20;11966
Kuolemantapausten lukumäärä;2020-12-20;4
Tapausten lukumäärä;2020-12-21;375
Testausmäärä;2020-12-21;15149
Kuolemantapausten lukumäärä;2020-12-21;4
Tapausten lukumäärä;2020-12-22;332
Testausmäärä;2020-12-22;22266
Kuolemantapausten lukumäärä;2020-12-22;5
Tapausten lukumäärä;2020-12-23;277
Testausmäärä;2020-12-23;21217
Kuolemantapausten lukumäärä;2020-12-23;3
Tapausten lukumäärä;2020-12-24;138
Testausmäärä;2020-12-24;11339
Kuolemantapausten lukumäärä;2020-12-24;3
Tapausten lukumäärä;2020-12-25;157
Testausmäärä;2020-12-25;6857
Kuolemantapausten lukumäärä;2020-12-25;2
Tapausten lukumäärä;2020-12-26;183
Testausmäärä;2020-12-26;6415
Kuolemantapausten lukumäärä;2020-12-26;0
Tapausten lukumäärä;2020-12-27;191
Testausmäärä;2020-12-27;7345
Kuolemantapausten lukumäärä;2020-12-27;4
Tapausten lukumäärä;2020-12-28;435
Testausmäärä;2020-12-28;11585
Kuolemantapausten lukumäärä;2020-12-28;5
Tapausten lukumäärä;2020-12-29;308
Testausmäärä;2020-12-29;15715
Kuolemantapausten lukumäärä;2020-12-29;2
Tapausten lukumäärä;2020-12-30;255
Testausmäärä;2020-12-30;14322
Kuolemantapausten lukumäärä;2020-12-30;4
Tapausten lukumäärä;2020-12-31;254
Testausmäärä;2020-12-31;11974
Kuolemantapausten lukumäärä;2020-12-31;6
Tapausten lukumäärä;2021-01-01;128
Testausmäärä;2021-01-01;6829
Kuolemantapausten lukumäärä;2021-01-01;3
Tapausten lukumäärä;2021-01-02;205
Testausmäärä;2021-01-02;7017
Kuolemantapausten lukumäärä;2021-01-02;4
Tapausten lukumäärä;2021-01-03;169
Testausmäärä;2021-01-03;6495
Kuolemantapausten lukumäärä;2021-01-03;3
Tapausten lukumäärä;2021-01-04;396
Testausmäärä;2021-01-04;10678
Kuolemantapausten lukumäärä;2021-01-04;7
Tapausten lukumäärä;2021-01-05;262
Testausmäärä;2021-01-05;14981
Kuolemantapausten lukumäärä;2021-01-05;4
Tapausten lukumäärä;2021-01-06;208
Testausmäärä;2021-01-06;10861
Kuolemantapausten lukumäärä;2021-01-06;3
Tapausten lukumäärä;2021-01-07;332
Testausmäärä;2021-01-07;8976
Kuolemantapausten lukumäärä;2021-01-07;3
Tapausten lukumäärä;2021-01-08;252
Testausmäärä;2021-01-08;13740
Kuolemantapausten lukumäärä;2021-01-08;4
Tapausten lukumäärä;2021-01-09;193
Testausmäärä;2021-01-09;10979
Kuolemantapausten lukumäärä;2021-01-09;2
Tapausten lukumäärä;2021-01-10;188
Testausmäärä;2021-01-10;6501
Kuolemantapausten lukumäärä;2021-01-10;3
Tapausten lukumäärä;2021-01-11;386
Testausmäärä;2021-01-11;9375
Kuolemantapausten lukumäärä;2021-01-11;8
Tapausten lukumäärä;2021-01-12;229
Testausmäärä;2021-01-12;14430
Kuolemantapausten lukumäärä;2021-01-12;9
Tapausten lukumäärä;2021-01-13;258
Testausmäärä;2021-01-13;12971
Kuolemantapausten lukumäärä;2021-01-13;5
Tapausten lukumäärä;2021-01-14;248
Testausmäärä;2021-01-14;11127
Kuolemantapausten lukumäärä;2021-01-14;5
Tapausten lukumäärä;2021-01-15;266
Testausmäärä;2021-01-15;11189
Kuolemantapausten lukumäärä;2021-01-15;1
Tapausten lukumäärä;2021-01-16;171
Testausmäärä;2021-01-16;9323
Kuolemantapausten lukumäärä;2021-01-16;1
Tapausten lukumäärä;2021-01-17;198
Testausmäärä;2021-01-17;5160
Kuolemantapausten lukumäärä;2021-01-17;0
Tapausten lukumäärä;2021-01-18;447
Testausmäärä;2021-01-18;9367
Kuolemantapausten lukumäärä;2021-01-18;1
Tapausten lukumäärä;2021-01-19;342
Testausmäärä;2021-01-19;16872
Kuolemantapausten lukumäärä;2021-01-19;4
Tapausten lukumäärä;2021-01-20;406
Testausmäärä;2021-01-20;15794
Kuolemantapausten lukumäärä;2021-01-20;12
Tapausten lukumäärä;2021-01-21;377
Testausmäärä;2021-01-21;15746
Kuolemantapausten lukumäärä;2021-01-21;4
Tapausten lukumäärä;2021-01-22;361
Testausmäärä;2021-01-22;16859
Kuolemantapausten lukumäärä;2021-01-22;2
Tapausten lukumäärä;2021-01-23;168
Testausmäärä;2021-01-23;11627
Kuolemantapausten lukumäärä;2021-01-23;2
Tapausten lukumäärä;2021-01-24;247
Testausmäärä;2021-01-24;8716
Kuolemantapausten lukumäärä;2021-01-24;2
Tapausten lukumäärä;2021-01-25;604
Testausmäärä;2021-01-25;11433
Kuolemantapausten lukumäärä;2021-01-25;5
Tapausten lukumäärä;2021-01-26;397
Testausmäärä;2021-01-26;20056
Kuolemantapausten lukumäärä;2021-01-26;3
Tapausten lukumäärä;2021-01-27;382
Testausmäärä;2021-01-27;16789
Kuolemantapausten lukumäärä;2021-01-27;0
Tapausten lukumäärä;2021-01-28;435
Testausmäärä;2021-01-28;16570
Kuolemantapausten lukumäärä;2021-01-28;1
Tapausten lukumäärä;2021-01-29;379
Testausmäärä;2021-01-29;18667
Kuolemantapausten lukumäärä;2021-01-29;3
Tapausten lukumäärä;2021-01-30;234
Testausmäärä;2021-01-30;12391
Kuolemantapausten lukumäärä;2021-01-30;1
Tapausten lukumäärä;2021-01-31;274
Testausmäärä;2021-01-31;10583
Kuolemantapausten lukumäärä;2021-01-31;0
Tapausten lukumäärä;2021-02-01;533
Testausmäärä;2021-02-01;12904
Kuolemantapausten lukumäärä;2021-02-01;6
Tapausten lukumäärä;2021-02-02;396
Testausmäärä;2021-02-02;19672
Kuolemantapausten lukumäärä;2021-02-02;2
Tapausten lukumäärä;2021-02-03;441
Testausmäärä;2021-02-03;22844
Kuolemantapausten lukumäärä;2021-02-03;3
Tapausten lukumäärä;2021-02-04;372
Testausmäärä;2021-02-04;19448
Kuolemantapausten lukumäärä;2021-02-04;1
Tapausten lukumäärä;2021-02-05;367
Testausmäärä;2021-02-05;18024
Kuolemantapausten lukumäärä;2021-02-05;2
Tapausten lukumäärä;2021-02-06;237
Testausmäärä;2021-02-06;14201
Kuolemantapausten lukumäärä;2021-02-06;0
Tapausten lukumäärä;2021-02-07;264
Testausmäärä;2021-02-07;9095
Kuolemantapausten lukumäärä;2021-02-07;2
Tapausten lukumäärä;2021-02-08;461
Testausmäärä;2021-02-08;14031
Kuolemantapausten lukumäärä;2021-02-08;5
Tapausten lukumäärä;2021-02-09;373
Testausmäärä;2021-02-09;22063
Kuolemantapausten lukumäärä;2021-02-09;0
Tapausten lukumäärä;2021-02-10;383
Testausmäärä;2021-02-10;20690
Kuolemantapausten lukumäärä;2021-02-10;5
Tapausten lukumäärä;2021-02-11;361
Testausmäärä;2021-02-11;18768
Kuolemantapausten lukumäärä;2021-02-11;2
Tapausten lukumäärä;2021-02-12;417
Testausmäärä;2021-02-12;18433
Kuolemantapausten lukumäärä;2021-02-12;2
Tapausten lukumäärä;2021-02-13;279
Testausmäärä;2021-02-13;12932
Kuolemantapausten lukumäärä;2021-02-13;4
Tapausten lukumäärä;2021-02-14;281
Testausmäärä;2021-02-14;9916
Kuolemantapausten lukumäärä;2021-02-14;4
Tapausten lukumäärä;2021-02-15;617
Testausmäärä;2021-02-15;15047
Kuolemantapausten lukumäärä;2021-02-15;1
Tapausten lukumäärä;2021-02-16;513
Testausmäärä;2021-02-16;21948
Kuolemantapausten lukumäärä;2021-02-16;5
Tapausten lukumäärä;2021-02-17;553
Testausmäärä;2021-02-17;20831
Kuolemantapausten lukumäärä;2021-02-17;2
Tapausten lukumäärä;2021-02-18;614
Testausmäärä;2021-02-18;21616
Kuolemantapausten lukumäärä;2021-02-18;2
Tapausten lukumäärä;2021-02-19;572
Testausmäärä;2021-02-19;19672
Kuolemantapausten lukumäärä;2021-02-19;3
Tapausten lukumäärä;2021-02-20;318
Testausmäärä;2021-02-20;16123
Kuolemantapausten lukumäärä;2021-02-20;2
Tapausten lukumäärä;2021-02-21;355
Testausmäärä;2021-02-21;11944
Kuolemantapausten lukumäärä;2021-02-21;1
Tapausten lukumäärä;2021-02-22;623
Testausmäärä;2021-02-22;21503
Kuolemantapausten lukumäärä;2021-02-22;5
Tapausten lukumäärä;2021-02-23;625
Testausmäärä;2021-02-23;23014
Kuolemantapausten lukumäärä;2021-02-23;9
Tapausten lukumäärä;2021-02-24;599
Testausmäärä;2021-02-24;21893
Kuolemantapausten lukumäärä;2021-02-24;2
Tapausten lukumäärä;2021-02-25;629
Testausmäärä;2021-02-25;22370
Kuolemantapausten lukumäärä;2021-02-25;7
Tapausten lukumäärä;2021-02-26;688
Testausmäärä;2021-02-26;22189
Kuolemantapausten lukumäärä;2021-02-26;3
Tapausten lukumäärä;2021-02-27;405
Testausmäärä;2021-02-27;17755
Kuolemantapausten lukumäärä;2021-02-27;1
Tapausten lukumäärä;2021-02-28;422
Testausmäärä;2021-02-28;9902
Kuolemantapausten lukumäärä;2021-02-28;1
Tapausten lukumäärä;2021-03-01;871
Testausmäärä;2021-03-01;18355
Kuolemantapausten lukumäärä;2021-03-01;7
Tapausten lukumäärä;2021-03-02;756
Testausmäärä;2021-03-02;26550
Kuolemantapausten lukumäärä;2021-03-02;2
Tapausten lukumäärä;2021-03-03;733
Testausmäärä;2021-03-03;23809
Kuolemantapausten lukumäärä;2021-03-03;1
Tapausten lukumäärä;2021-03-04;638
Testausmäärä;2021-03-04;23734
Kuolemantapausten lukumäärä;2021-03-04;2
Tapausten lukumäärä;2021-03-05;630
Testausmäärä;2021-03-05;23036
Kuolemantapausten lukumäärä;2021-03-05;3
Tapausten lukumäärä;2021-03-06;433
Testausmäärä;2021-03-06;19597
Kuolemantapausten lukumäärä;2021-03-06;1
Tapausten lukumäärä;2021-03-07;396
Testausmäärä;2021-03-07;13329
Kuolemantapausten lukumäärä;2021-03-07;2
Tapausten lukumäärä;2021-03-08;834
Testausmäärä;2021-03-08;21635
Kuolemantapausten lukumäärä;2021-03-08;9
Tapausten lukumäärä;2021-03-09;771
Testausmäärä;2021-03-09;23745
Kuolemantapausten lukumäärä;2021-03-09;4
Tapausten lukumäärä;2021-03-10;822
Testausmäärä;2021-03-10;24409
Kuolemantapausten lukumäärä;2021-03-10;4
Tapausten lukumäärä;2021-03-11;780
Testausmäärä;2021-03-11;24562
Kuolemantapausten lukumäärä;2021-03-11;4
Tapausten lukumäärä;2021-03-12;808
Testausmäärä;2021-03-12;22295
Kuolemantapausten lukumäärä;2021-03-12;4
Tapausten lukumäärä;2021-03-13;495
Testausmäärä;2021-03-13;18510
Kuolemantapausten lukumäärä;2021-03-13;4
Tapausten lukumäärä;2021-03-14;435
Testausmäärä;2021-03-14;15356
Kuolemantapausten lukumäärä;2021-03-14;0
Tapausten lukumäärä;2021-03-15;892
Testausmäärä;2021-03-15;18210
Kuolemantapausten lukumäärä;2021-03-15;1
Tapausten lukumäärä;2021-03-16;767
Testausmäärä;2021-03-16;29196
Kuolemantapausten lukumäärä;2021-03-16;1
Tapausten lukumäärä;2021-03-17;743
Testausmäärä;2021-03-17;25228
Kuolemantapausten lukumäärä;2021-03-17;3
Tapausten lukumäärä;2021-03-18;739
Testausmäärä;2021-03-18;23215
Kuolemantapausten lukumäärä;2021-03-18;4
Tapausten lukumäärä;2021-03-19;745
Testausmäärä;2021-03-19;22845
Kuolemantapausten lukumäärä;2021-03-19;7
Tapausten lukumäärä;2021-03-20;404
Testausmäärä;2021-03-20;16822
Kuolemantapausten lukumäärä;2021-03-20;4
Tapausten lukumäärä;2021-03-21;420
Testausmäärä;2021-03-21;11691
Kuolemantapausten lukumäärä;2021-03-21;0
Tapausten lukumäärä;2021-03-22;768
Testausmäärä;2021-03-22;18893
Kuolemantapausten lukumäärä;2021-03-22;6
Tapausten lukumäärä;2021-03-23;703
Testausmäärä;2021-03-23;26958
Kuolemantapausten lukumäärä;2021-03-23;5
Tapausten lukumäärä;2021-03-24;695
Testausmäärä;2021-03-24;22244
Kuolemantapausten lukumäärä;2021-03-24;4
Tapausten lukumäärä;2021-03-25;606
Testausmäärä;2021-03-25;22482
Kuolemantapausten lukumäärä;2021-03-25;2
Tapausten lukumäärä;2021-03-26;688
Testausmäärä;2021-03-26;21311
Kuolemantapausten lukumäärä;2021-03-26;3
Tapausten lukumäärä;2021-03-27;352
Testausmäärä;2021-03-27;15612
Kuolemantapausten lukumäärä;2021-03-27;4
Tapausten lukumäärä;2021-03-28;375
Testausmäärä;2021-03-28;10367
Kuolemantapausten lukumäärä;2021-03-28;1
Tapausten lukumäärä;2021-03-29;655
Testausmäärä;2021-03-29;18258
Kuolemantapausten lukumäärä;2021-03-29;3
Tapausten lukumäärä;2021-03-30;572
Testausmäärä;2021-03-30;23789
Kuolemantapausten lukumäärä;2021-03-30;2
Tapausten lukumäärä;2021-03-31;550
Testausmäärä;2021-03-31;25589
Kuolemantapausten lukumäärä;2021-03-31;1
Tapausten lukumäärä;2021-04-01;486
Testausmäärä;2021-04-01;20672
Kuolemantapausten lukumäärä;2021-04-01;2
Tapausten lukumäärä;2021-04-02;361
Testausmäärä;2021-04-02;17648
Kuolemantapausten lukumäärä;2021-04-02;2
Tapausten lukumäärä;2021-04-03;324
Testausmäärä;2021-04-03;9811
Kuolemantapausten lukumäärä;2021-04-03;3
Tapausten lukumäärä;2021-04-04;322
Testausmäärä;2021-04-04;10252
Kuolemantapausten lukumäärä;2021-04-04;1
Tapausten lukumäärä;2021-04-05;360
Testausmäärä;2021-04-05;10642
Kuolemantapausten lukumäärä;2021-04-05;0
Tapausten lukumäärä;2021-04-06;544
Testausmäärä;2021-04-06;20550
Kuolemantapausten lukumäärä;2021-04-06;1
Tapausten lukumäärä;2021-04-07;426
Testausmäärä;2021-04-07;22889
Kuolemantapausten lukumäärä;2021-04-07;4
Tapausten lukumäärä;2021-04-08;407
Testausmäärä;2021-04-08;21283
Kuolemantapausten lukumäärä;2021-04-08;1
Tapausten lukumäärä;2021-04-09;352
Testausmäärä;2021-04-09;20665
Kuolemantapausten lukumäärä;2021-04-09;2
Tapausten lukumäärä;2021-04-10;227
