Mittari;Aika;val
Testausmäärä;2020-03-13;409
Kuolemantapausten lukumäärä;2020-03-13;1
Tapausten lukumäärä;2020-03-14;29
Testausmäärä;2020-03-14;595
Kuolemantapausten lukumäärä;2020-03-14;1
Tapausten lukumäärä;2020-03-15;53
Testausmäärä;2020-03-15;644
Kuolemantapausten lukumäärä;2020-03-15;0
Tapausten lukumäärä;2020-03-16;52
Testausmäärä;2020-03-16;868
Kuolemantapausten lukumäärä;2020-03-16;1
Tapausten lukumäärä;2020-03-17;47
Testausmäärä;2020-03-17;1136
Kuolemantapausten lukumäärä;2020-03-17;2
Tapausten lukumäärä;2020-03-18;90
Testausmäärä;2020-03-18;1025
Kuolemantapausten lukumäärä;2020-03-18;0
Tapausten lukumäärä;2020-03-19;99
Testausmäärä;2020-03-19;775
Kuolemantapausten lukumäärä;2020-03-19;1
Tapausten lukumäärä;2020-03-20;87
Testausmäärä;2020-03-20;1286
Kuolemantapausten lukumäärä;2020-03-20;1
Tapausten lukumäärä;2020-03-21;87
Testausmäärä;2020-03-21;1603
Kuolemantapausten lukumäärä;2020-03-21;2
Tapausten lukumäärä;2020-03-22;78
Testausmäärä;2020-03-22;1048
Kuolemantapausten lukumäärä;2020-03-22;1
Tapausten lukumäärä;2020-03-23;84
Testausmäärä;2020-03-23;1316
Kuolemantapausten lukumäärä;2020-03-23;4
Tapausten lukumäärä;2020-03-24;99
Testausmäärä;2020-03-24;1582
Kuolemantapausten lukumäärä;2020-03-24;1
Tapausten lukumäärä;2020-03-25;104
Testausmäärä;2020-03-25;1848
Kuolemantapausten lukumäärä;2020-03-25;5
Tapausten lukumäärä;2020-03-26;113
Testausmäärä;2020-03-26;1837
Kuolemantapausten lukumäärä;2020-03-26;4
Tapausten lukumäärä;2020-03-27;95
Testausmäärä;2020-03-27;2004
Kuolemantapausten lukumäärä;2020-03-27;2
Tapausten lukumäärä;2020-03-28;77
Testausmäärä;2020-03-28;1205
Kuolemantapausten lukumäärä;2020-03-28;4
Tapausten lukumäärä;2020-03-29;70
Testausmäärä;2020-03-29;587
Kuolemantapausten lukumäärä;2020-03-29;10
Tapausten lukumäärä;2020-03-30;129
Testausmäärä;2020-03-30;1084
Kuolemantapausten lukumäärä;2020-03-30;10
Tapausten lukumäärä;2020-03-31;125
Testausmäärä;2020-03-31;1131
Kuolemantapausten lukumäärä;2020-03-31;7
Tapausten lukumäärä;2020-04-01;149
Testausmäärä;2020-04-01;1611
Kuolemantapausten lukumäärä;2020-04-01;4
Tapausten lukumäärä;2020-04-02;161
Testausmäärä;2020-04-02;2331
Kuolemantapausten lukumäärä;2020-04-02;6
Tapausten lukumäärä;2020-04-03;199
Testausmäärä;2020-04-03;1691
Kuolemantapausten lukumäärä;2020-04-03;5
Tapausten lukumäärä;2020-04-04;81
Testausmäärä;2020-04-04;3224
Kuolemantapausten lukumäärä;2020-04-04;7
Tapausten lukumäärä;2020-04-05;122
Testausmäärä;2020-04-05;1647
Kuolemantapausten lukumäärä;2020-04-05;4
Tapausten lukumäärä;2020-04-06;209
Testausmäärä;2020-04-06;1971
Kuolemantapausten lukumäärä;2020-04-06;10
Tapausten lukumäärä;2020-04-07;200
Testausmäärä;2020-04-07;2167
Kuolemantapausten lukumäärä;2020-04-07;17
Tapausten lukumäärä;2020-04-08;138
Testausmäärä;2020-04-08;3295
Kuolemantapausten lukumäärä;2020-04-08;8
Tapausten lukumäärä;2020-04-09;158
Testausmäärä;2020-04-09;2549
Kuolemantapausten lukumäärä;2020-04-09;11
Tapausten lukumäärä;2020-04-10;71
Testausmäärä;2020-04-10;3287
Kuolemantapausten lukumäärä;2020-04-10;3
Tapausten lukumäärä;2020-04-11;75
Testausmäärä;2020-04-11;1318
Kuolemantapausten lukumäärä;2020-04-11;3
Tapausten lukumäärä;2020-04-12;80
Testausmäärä;2020-04-12;1589
Kuolemantapausten lukumäärä;2020-04-12;11
Tapausten lukumäärä;2020-04-13;117
Testausmäärä;2020-04-13;920
Kuolemantapausten lukumäärä;2020-04-13;12
Tapausten lukumäärä;2020-04-14;175
Testausmäärä;2020-04-14;1225
Kuolemantapausten lukumäärä;2020-04-14;10
Tapausten lukumäärä;2020-04-15;130
Testausmäärä;2020-04-15;2492
Kuolemantapausten lukumäärä;2020-04-15;14
Tapausten lukumäärä;2020-04-16;120
Testausmäärä;2020-04-16;3507
